Almanca,Azərbaycanca
die Achtung (Sg.),diqqət
"die Adresse, -n",ünvan
"die Ahnung, -en",anlayış / fikir
das Alter (Sg.),yaş
"der Anfang, -e",başlanğıc
"die Angst, -e",qorxu
"der Anruf, -e",zəng
"der Anrufbeantworter, -",avtocavabdeh / səsli mesaj qutusu
"die Antwort, -en",cavab
"die Anzeige, -n",elan / reklam
"der Apfel, -",alma
"die Apotheke, -n",aptek
der Appetit (Sg.),iştah
"die Arbeit, -en",iş
"der Arm, -e",qol
"der Artikel, -",məqalə / artikl
"der Arzt, -e",həkim (kişi)
"die Ärztin, -nen",həkim (qadın)
"das Auge, -n",göz
"der Ausflug, -e",ekskursiya / gəzinti
das Ausland (Sg.),xarici ölkə
"das Auto, -s",avtomobil / maşın
"der Automat, -en",avtomat / aparat
"das Bad, -er",hamam
"der Bahnhof, -e",vağzal
"der Bahnsteig, -e",peron
"der Ball, -e",top
"die Banane, -n",banan
"der Basketball, -e",basketbol
"der Bauch, -e",qarın
"der Baum, -e",ağac
"der Beruf, -e",peşə / ixtisas
"das Bett, -en",çarpayı / yataq
"die Bibliothek, -en",kitabxana
"der Bleistift, -e",karandaş
"die Blume, -n",çiçək
"die Bluse, -n",bluzka
"der Brief, -e",məktub
"das Brot, -e",çörək
"das Brötchen, -",bulka / kiçik çörək
"das Buch, -er",kitab
"der Bus, -se",avtobus
der Dank (Sg.),təşəkkür
"die Disco, -s",diskoteka
der Durst (Sg.),susuzluq
"das Ei, -er",yumurta
"die Einladung, -en",dəvət
"die Eins, -en",1 / əla (qiymət)
das Eis (Sg.),dondurma / buz
die Eltern (Pl.),valideynlər
"das Ende, -n",son / bitiş
"die Entschuldigung, -en",üzr
"das Essen, -",yemək (isim)
"das Fach, -er",fənn / mövzu
"die Fahrkarte, -n",bilet
"der Fahrplan, -e",nəqliyyat cədvəli
"das Fahrrad, -er",velosiped
"die Familie, -n",ailə
"der Familienname, -n",soyad
"der Fehler, -",səhv
"das Fenster, -",pəncərə
die Ferien (Pl.),tətillər
das Fernsehen (Sg.),televiziya
"der Film, -e",film
"der Fisch, -e",balıq
"die Flasche, -n",şüşə / butulka
das Fleisch (Sg.),ət
"der Flughafen, -",hava limanı
"das Flugzeug, -e",təyyarə
"der Fluss, -e",çay
"das Foto, -s",foto / şəkil
"der Fotoapparat, -e",fotoapparat
"die Frage, -n",sual
"die Frau, -en",qadın / xanım
"der Freund, -e",dost (kişi) / sevgili (kişi)
"die Freundin, -nen",dost (qadın) / sevgili (qadın)
"das Frühstück, -e",səhər yeməyi
"der Fuß, -e",ayaq
"der Fußball, -e",futbol
"der Garten, -",bağ / həyət
"der Geburtstag, -e",ad günü
das Geld (Sg.),pul
das Gemüse (Sg.),tərəvəz
das Gepäck (Sg.),baqaj / yük
"das Geschäft, -e",mağaza / iş
"das Geschenk, -e",hədiyyə
"die Geschichte, -n",tarix / hekayə
"das Glas, -er",stəkan / şüşə
"das Gleis, -e",rels / platforma
das Glück (Sg.),xoşbəxtlik / şans
"der Glückwunsch, -e",təbrik
die Großeltern (Pl.),nənə-baba
"der Gruß, -e",salam / salamlama
"das Haar, -e",saç
"der Hals, -e",boyun / boğaz
"die Haltestelle, -n",dayanacaq
"das Handy, -s",mobil telefon
"das Haus, -er",ev
"die Hausaufgabe, -n",ev tapşırığı
"das Heft, -e",dəftər
"der Herr, -en",cənab / bəy
"das Hobby, -s",hobbi
"die Hochzeit, -en",toy
"der Hund, -e",it
der Hunger (Sg.),aclıq
"die Idee, -n",fikir / ideya
"die Information, -en",məlumat
"die Insel, -n",ada
"die Jacke, -n",gödəkçə / pencək
die Jeans (-),cins şalvar
"der Junge, -n",oğlan
"der Kaffee, -s",qəhvə
"der Kakao, -s",kakao
"die Karte, -n",kart / bilet / xəritə
"die Kartoffel, -n",kartof
der Käse (Sg.),pendir
"die Katze, -n",pişik
"das Kino, -s",kino
"der Kiosk, -e",köşk
"die Klasse, -n",sinif
"die Klassenarbeit, -en",sinif işi / yoxlama işi
"das Klavier, -e",piano
"das Kleid, -er",don / paltar
"der Kopf, -e",baş
"das Krankenhaus, -er",xəstəxana
"der Kuchen, -",tort / keks
"die Küche, -n",mətbəx
"der Kühlschrank, -e",soyuducu
"der Kugelschreiber, - (Kuli)",topaqqalem / qələm
"der Kurs, -e",kurs
"die Lampe, -n",lampa
"das Land, -er",ölkə / kənd
die Leute (Pl.),insanlar
die Lust (Sg.),istək / həvəs
"das Mädchen, -",qız
"das Mal, -e",dəfə
"der Mann, -er",kişi / ər
"der Mantel, -",palto
"der Markt, -e",bazar
"der Marktplatz, -e",bazar meydanı
"die Marmelade, -n",mürəbbə
die Milch (Sg.),süd
das Mineralwasser (Sg.),mineral su
die Musik (Sg.),musiqi
"die Nachricht, -en",xəbər / mesaj
"der Name, -n",ad
"die Note, -n",qiymət / not
"die Nummer, -n",nömrə
das Obst (Sg.),meyvə
"der Ohrring, -e",sırğa
die Ordnung (Sg.),nizam / qayda
"das Paket, -e",bağlama / paket
"der Park, -s",park
"die Pause, -n",fasilə / ara
"das Pferd, -e",at
"die Pizza, -s / Pizzen",pizza
"der Platz, -e",yer / meydan
die Post (Sg.),poçt
"die Postkarte, -n",məktubkart
"das Problem, -e",problem
"der Pullover, -",sviter
der Quatsch (Sg.),cəfəngiyat / saçmalıq
"das Quiz, -",viktorina
"das Rad, -er",velosiped / çarx
"der Radiergummi, -s",silgi
"das Radio, -s",radio
"das Rätsel, -",tapmaca
der Regen (Sg.),yağış
"die Reise, -n",səyahət
"das Restaurant, -s",restoran
"der Ring, -e",üzük / halqa
"der Rucksack, -e",sırt çantası
"die Sache, -n",məsələ / əşya
"der Saft, -e",şirə / meyvə suyu
"der Salat, -e",salat
"das Schiff, -e",gəmi
"der Schmerz, -en",ağrı
"die Schokolade, -n",şokolad
"das Schwimmbad, -er",üzgüçülük hovuzu
"der See, -n",göl
"die Seite, -n",səhifə / tərəf
"der Spaß, -e",əyləncə / zövq
"das Spiel, -e",oyun
"der Spielplatz, -e",oyun meydançası
der Sport (Sg.),idman
"die Sprache, -n",dil
"die Stadt, -e",şəhər
"der Strand, -e",çimərlik / sahil
"die Straße, -n",küçə / yol
"das Stück, -e",parça / hissə
"der Supermarkt, -e",supermarket
"die Suppe, -n",şorba
die Süßigkeiten (Pl.),şirniyyat
"die Tasche, -n",çanta
das Taschengeld (Sg.),cib pulu
"die Tasse, -n",fincan / stəkan
"der Tee, -s",çay (içki)
"das Theater, -",teatr
"das Thema, Themen",mövzu
"das Tier, -e",heyvan
"der Tisch, -e",masa / stol
"die Toilette, -n",tualet
"das T-Shirt, -s",futbolka
"die Tür, -en",qapı
"die U-Bahn, -en",metro
der Unterricht (Sg.),dərs / təlim
"der Vorname, -n",ad
"der Wald, -er",meşə
das Wasser (Sg.),su
das Wiedersehen (Sg.),yenidən görüş
"die Wohnung, -en",mənzil / dairə
"das Wohnzimmer, -",qonaq otağı
"das Wort, -er / Worte",söz
"die Wurst, -e",kolbasa / sosis
"der Zahn, -e",diş
"die Zeit, -en",vaxt / zaman
"die Zeitung, -en",qəzet
"das Zimmer, -",otaq
"der Zug, -e",qatar
