Almanca,Azərbaycanca,Kateqoriya
ca.,təxminən,Abbreviatura
d.h.,yəni,Abbreviatura
ICE,sürətli qatar (Almaniya),Abbreviatura
der Lkw,yük maşını,Abbreviatura
der PC,kompüter,Abbreviatura
SMS,qısa mesaj,Abbreviatura
usw.,və s.,Abbreviatura
WC,tualet,Abbreviatura
z.B.,məsələn,Abbreviatura
der Antwortbogen,cavab vərəqi,İmtahan dili
die Aufgabe,tapşırıq / məsələ,İmtahan dili
das Beispiel,nümunə / misal,İmtahan dili
die Durchsage,elan / bildiriş,İmtahan dili
die Lösung,həll / cavab,İmtahan dili
markieren,işarə etmək,İmtahan dili
der Prüfer / die Prüferin,imtahan götürən (kişi / qadın),İmtahan dili
die Prüfung,imtahan,İmtahan dili
der Punkt,xal / nöqtə,İmtahan dili
der Teil,hissə,İmtahan dili
der Test,test,İmtahan dili
der Text,mətn,İmtahan dili
das Wörterbuch,lüğət,İmtahan dili
der Angestellte / die Angestellte,işçi / əməkdaş,Peşə
der Arzt / die Ärztin,həkim (kişi / qadın),Peşə
der Auszubildende,şagird işçi / stajçı,Peşə
der Autor / die Autorin,müəllif (kişi / qadın),Peşə
der Babysitter,uşaq baxıcısı,Peşə
der Bäcker / die Bäckerin,çörəkçi (kişi / qadın),Peşə
der Doktor / die Doktorin,doktor (kişi / qadın),Peşə
der Fahrer / die Fahrerin,sürücü (kişi / qadın),Peşə
der Friseur / die Friseurin,bərbər / saç ustası (kişi / qadın),Peşə
der Handwerker / die Handwerkerin,usta / işçi (kişi / qadın),Peşə
der Hausmann / die Hausfrau,ev əri / ev xanımı,Peşə
der Journalist / die Journalistin,jurnalist (kişi / qadın),Peşə
der Kaufmann / die Kauffrau,tacir (kişi / qadın),Peşə
der Kellner / die Kellnerin,ofisant (kişi / qadın),Peşə
der Koch / die Köchin,aşpaz (kişi / qadın),Peşə
der Krankenpfleger / die Krankenschwester,tibb bacısı / qardaşı,Peşə
der Künstler / die Künstlerin,sənətkar (kişi / qadın),Peşə
der Lehrer / die Lehrerin,müəllim / müəllimə,Peşə
der Mechaniker / die Mechanikerin,mexanik (kişi / qadın),Peşə
das Model,model,Peşə
der Musiker / die Musikerin,musiqiçi (kişi / qadın),Peşə
der Polizist / die Polizistin,polis (kişi / qadın),Peşə
der Rentner / die Rentnerin,pensiyaçı (kişi / qadın),Peşə
der Sänger / die Sängerin,müğənni (kişi / qadın),Peşə
der Schauspieler / die Schauspielerin,aktyor / aktrisa,Peşə
der Techniker / die Technikerin,texnik (kişi / qadın),Peşə
der Verkäufer / die Verkäuferin,satıcı (kişi / qadın),Peşə
der Bruder,qardaş,Ailə
der Cousin / die Cousine,əmioğlu / əmiqızı,Ailə
die Eltern,valideynlər,Ailə
der Enkel / die Enkelin,nəvə (oğlan / qız),Ailə
die Geschwister,qardaş-bacılar,Ailə
die Großeltern,nənə-baba,Ailə
die Großmutter / Oma,nənə / nənəcik,Ailə
der Großvater / Opa,baba / babacıq,Ailə
das Kind,uşaq,Ailə
die Mutter / Mama,ana / anacan,Ailə
der Onkel,əmi / dayı,Ailə
die Schwester,bacı,Ailə
der Sohn,oğul,Ailə
die Tante,xala / bibi,Ailə
die Tochter,qız (övlad),Ailə
der Vater / Papa,ata / atacan,Ailə
der/die Verwandte,qohum,Ailə
ledig,subay / evlənməmiş,Ailə vəziyyəti
verheiratet,evli,Ailə vəziyyəti
getrennt / geschieden,ayrılmış / boşanmış,Ailə vəziyyəti
blau,mavi,Rəng
braun,qəhvəyi,Rəng
gelb,sarı,Rəng
grau,boz,Rəng
grün,yaşıl,Rəng
lila,bənövşəyi,Rəng
orange,narıncı,Rəng
rosa,çəhrayı,Rəng
rot,qırmızı,Rəng
schwarz,qara,Rəng
weiß,ağ,Rəng
der Norden,şimal,İstiqamət
der Süden,cənub,İstiqamət
der Osten,şərq,İstiqamət
der Westen,qərb,İstiqamət
Deutschland,Almaniya,Ölkə/Milliyyət
der/die Deutsche,alman (kişi/qadın),Ölkə/Milliyyət
deutsch / auf Deutsch,alman / almanca,Ölkə/Milliyyət
Österreich,Avstriya,Ölkə/Milliyyət
der Österreicher / die Österreicherin,avstriyalı (kişi/qadın),Ölkə/Milliyyət
österreichisch,avstriya (sifət),Ölkə/Milliyyət
die Schweiz,İsveçrə,Ölkə/Milliyyət
der Schweizer / die Schweizerin,isveçrəli (kişi/qadın),Ölkə/Milliyyət
schweizerisch,isveçrə (sifət),Ölkə/Milliyyət
Luxemburg,Lüksemburq,Ölkə/Milliyyət
der Luxemburger / die Luxemburgerin,lüksemburqlu (kişi/qadın),Ölkə/Milliyyət
luxemburgisch,lüksemburq (sifət),Ölkə/Milliyyət
Europa,Avropa,Ölkə/Milliyyət
der Europäer / die Europäerin,avropalı (kişi/qadın),Ölkə/Milliyyət
europäisch,Avropa (sifət),Ölkə/Milliyyət
das Abitur,məzuniyyət imtahanı (ali məktəbə giriş),Məktəb
der Direktor,direktor,Məktəb
die Hausaufgabe,ev tapşırığı,Məktəb
die Klasse,sinif,Məktəb
die Klassenfahrt,sinif səyahəti,Məktəb
das Sekretariat,katiblik,Məktəb
der Stundenplan,dərs cədvəli,Məktəb
Biologie,biologiya,Dərs fənni
Chemie,kimya,Dərs fənni
Deutsch,alman dili,Dərs fənni
Englisch,ingilis dili,Dərs fənni
Französisch,fransız dili,Dərs fənni
Geografie,coğrafiya,Dərs fənni
Geschichte,tarix,Dərs fənni
Kunst / Kunsterziehung,rəsm / incəsənət,Dərs fənni
Latein,latın dili,Dərs fənni
Mathematik,riyaziyyat,Dərs fənni
Musik,musiqi,Dərs fənni
Physik,fizika,Dərs fənni
Religion,din,Dərs fənni
Sozialkunde,ictimaiyyət,Dərs fənni
Sport,idman,Dərs fənni
Karneval,karnaval,Bayram
Ostern,Pasxa,Bayram
Weihnachten,Milad,Bayram
Neujahr / Silvester,Yeni il / il qurtarışı,Bayram
der Frühling / das Frühjahr,yaz,Fəsil
der Sommer,yay,Fəsil
der Herbst,payız,Fəsil
der Winter,qış,Fəsil
der Januar,yanvar,Ay
der Februar,fevral,Ay
der März,mart,Ay
der April,aprel,Ay
der Mai,may,Ay
der Juni,iyun,Ay
der Juli,iyul,Ay
der August,avqust,Ay
der September,sentyabr,Ay
der Oktober,oktyabr,Ay
der November,noyabr,Ay
der Dezember,dekabr,Ay
der Tag,gün,Günün vaxtı
der Morgen,səhər,Günün vaxtı
der Vormittag,günortadan əvvəl,Günün vaxtı
der Mittag,günorta,Günün vaxtı
der Nachmittag,günortadan sonra,Günün vaxtı
der Abend,axşam,Günün vaxtı
die Nacht,gecə,Günün vaxtı
die Mitternacht,gecə yarısı,Günün vaxtı
täglich / tagsüber,hər gün / gün ərzində,Günün vaxtı
morgens,səhər (zərf),Günün vaxtı
mittags,günorta (zərf),Günün vaxtı
nachmittags,günortadan sonra (zərf),Günün vaxtı
abends,axşam (zərf),Günün vaxtı
nachts,gecə (zərf),Günün vaxtı
um Mitternacht,gecə yarısı,Günün vaxtı
am Wochenende,həftə sonu,Həftə günü
montags,bazar ertəsi günləri,Həftə günü
dienstags,çərşənbə axşamı günləri,Həftə günü
mittwochs,çərşənbə günləri,Həftə günü
donnerstags,cümə axşamı günləri,Həftə günü
freitags,cümə günləri,Həftə günü
samstags,şənbə günləri,Həftə günü
sonntags,bazar günləri,Həftə günü
der Arbeitstag / Werktag,iş günü,Həftə günü
der Feiertag,bayram günü,Həftə günü
die Sekunde,saniyə,Zaman
die Minute,dəqiqə,Zaman
die Stunde,saat (60 dəq.),Zaman
die Woche,həftə,Zaman
das Jahr,il,Zaman
ab,dan etibarən,Ədat
aber,amma / lakin,Bağlayıcı
abgeben,vermək / təhvil vermək,Fel
abholen,almaq / götürməyə gəlmək,Fel
abschließen,kilidləmək / bitirmək,Fel
die Achtung,diqqət / ehtiyat,İsim
die Adresse,ünvan,İsim
die Ahnung,anlayış / fikir,İsim
aktiv,aktiv / fəal,Sifət
aktuell,cari / aktual,Sifət
all- / alles / alle,hamı / hamısı,Əvəzlik
allein,tək / yalnız,Zərf
als,nisbətən / kimi (peşə),Bağlayıcı
also,beləliklə / yəni,Bağlayıcı
alt,köhnə / yaşlı,Sifət
das Alter,yaş,İsim
die Ampel,svetofor,İsim
an,yanında / üstündə,Ədat
anbieten,təklif etmək,Fel
das Angebot,təklif / endirim,İsim
ander-,başqa / digər,Sifət
ändern,dəyişmək,Fel
anders,başqa cür / fərqli,Zərf
anfangen,başlamaq,Fel
der Anfang,başlanğıc,İsim
die Angst,qorxu,İsim
ankommen,gəlib çatmaq,Fel
die Ankunft,gəliş,İsim
anmachen,yandırmaq / açmaq,Fel
anmelden (sich),qeydiyyatdan keçmək,Fel
die Anmeldung,qeydiyyat,İsim
der Anrufbeantworter,avtomüxbir,İsim
anrufen,zəng etmək,Fel
der Anruf,zəng,İsim
der Anschluss,bağlantı / qoşulma / ötürücü qatar,İsim
ansehen,baxmaq / nəzər yetirmək,Fel
antworten,cavab vermək,Fel
die Antwort,cavab,İsim
die Anzeige,elan / reklam,İsim
der Anzug,kostyum,İsim
der Apfel,alma,İsim
die Apotheke,aptek,İsim
der Apparat,cihaz / aparat,İsim
arbeiten,işləmək,Fel
die Arbeit,iş,İsim
arbeitslos,işsiz,Sifət
ärgern (sich),əsəbiləşmək / hirslənmək,Fel
arm,kasıb / yoxsul,Sifət
der Arm,qol,İsim
der Artikel,artikl / məqalə,İsim
auch,da / həm də,Zərf
auf,üstündə / açıq,Ədat
auf jeden Fall,mütləq / hökmən,İfadə
auf keinen Fall,heç vəchlə / əsla,İfadə
aufhören,dayandırmaq / saxlamaq,Fel
aufmachen,açmaq,Fel
aufpassen,diqqət etmək,Fel
aufräumen,yığışdırmaq,Fel
aufregend,həyəcanlı / maraqlı,Sifət
aufstehen,qalxmaq / oyanmaq,Fel
der Aufzug,lift,İsim
das Auge,göz,İsim
aus,içindən / -dan / söndürülmüş,Ədat
die Ausbildung,peşə təhsili / ixtisas,İsim
der Ausflug,ekskursiya / gəzinti,İsim
ausfüllen,doldurmaq (forma),Fel
der Ausgang,çıxış,İsim
ausgeben,xərcləmək,Fel
ausgehen,çıxmaq / sönmək,Fel
die Auskunft,məlumat / arayış,İsim
das Ausland,xarici ölkə,İsim
ausmachen,söndürmək,Fel
auspacken,açmaq / boşaltmaq (çamadan),Fel
ausruhen (sich),istirahət etmək,Fel
aussehen,görünmək,Fel
außer,istisna olmaqla / -dan başqa,Ədat
außerdem,bundan əlavə,Zərf
außerhalb,kənarda / xaricindən,Zərf
aussprechen,tələffüz etmək,Fel
aussteigen,düşmək (nəqliyyatdan),Fel
die Ausstellung,sərgi,İsim
austragen,çatdırmaq / yaymaq,Fel
der Ausweis,şəxsiyyət vəsiqəsi,İsim
das Auto,avtomobil / maşın,İsim
die Autobahn,avtomobil yolu / magistral,İsim
der Automat,avtomat / aparat,İsim
das Baby,körpə,İsim
die Bäckerei,çörək mağazası,İsim
das Bad,hamam,İsim
baden,çimmək / hamam etmək,Fel
die Bahn,dəmiryol / qatarı,İsim
der Bahnhof,vağzal,İsim
der Bahnsteig,peron,İsim
bald,tezliklə,Zərf
der Balkon,balkon,İsim
der Ball,top,İsim
die Banane,banan,İsim
die Band,musiqi qrupu,İsim
die Bank (Geldinstitut),bank,İsim
die Bank (Sitzbank),skamya / oturacaq,İsim
bar,nağd (pul),Zərf
der Basketball,basketbol,İsim
basteln,əl işi etmək,Fel
der Bauch,qarın,İsim
bauen,tikmək / inşa etmək,Fel
der Baum,ağac,İsim
die Baustelle,tikinti sahəsi,İsim
beantworten,cavablandırmaq,Fel
bedanken (sich),təşəkkür etmək,Fel
bedeuten,mənasına gəlmək,Fel
beeilen (sich),tələsmək,Fel
beenden,bitirmək / tamamlamaq,Fel
beginnen,başlamaq,Fel
begründen,əsaslandırmaq,Fel
bei,yanında / -da/-də,Ədat
beide,hər ikisi,Əvəzlik
das Bein,ayaq (baldır),İsim
bekannt,tanınmış / məşhur,Sifət
der/die Bekannte,tanış (kişi/qadın),İsim
bekommen,almaq / əldə etmək,Fel
beliebt,sevimli / populyar,Sifət
benutzen,istifadə etmək,Fel
bequem,rahat,Sifət
beraten,məsləhət vermək,Fel
der Berg,dağ,İsim
berichten,xəbər vermək / bildirmək,Fel
der Beruf,peşə / ixtisas,İsim
berühmt,məşhur,Sifət
der Bescheid,məlumat / xəbər,İsim
beschreiben,təsvir etmək,Fel
beschweren (sich),şikayət etmək,Fel
besetzt,tutulmuş / məşğul,Sifət
besichtigen,gəzib görmək / baxmaq,Fel
besonders,xüsusilə,Zərf
bestätigen,təsdiq etmək,Fel
bestehen,keçmək (imtahan) / ibarət olmaq,Fel
bestellen,sifariş etmək,Fel
der Besuch,ziyarət / qonaq,İsim
besuchen,ziyarət etmək / baş çəkmək,Fel
das Bett,çarpayı / yataq,İsim
bewerben (sich),müraciət etmək (iş üçün),Fel
die Bewerbung,müraciət / ərizə,İsim
bewölkt,buludlu,Sifət
die Wolke,bulud,İsim
bezahlen,ödəmək,Fel
die Bibliothek,kitabxana,İsim
das Bier,pivə,İsim
das Bild,şəkil / rəsm,İsim
billig,ucuz,Sifət
die Birne,armud,İsim
bis,qədər / -a kimi,Ədat
bisschen,bir az,Zərf
bitte,xahiş edirəm / buyurun,Ədat
die Bitte,xahiş / rica,İsim
bitten,xahiş etmək,Fel
bitter,acı (dad),Sifət
das Blatt,vərəq / yarpaq,İsim
bleiben,qalmaq,Fel
der Bleistift,karandaş,İsim
blöd,axmaq / gülünc,Sifət
der/das Blog,bloq,İsim
blond,sarışın,Sifət
die Blume,çiçək,İsim
die Bluse,bluzka,İsim
die Bohne,lobya / paxla,İsim
böse,qəzəbli / hirsli,Sifət
braten,qovurmaq / qızartmaq,Fel
brauchen,lazım olmaq,Fel
der Brief,məktub,İsim
die Briefmarke,poçt markası,İsim
die Brille,eynək,İsim
bringen,gətirmək,Fel
das Brot,çörək,İsim
das Brötchen,bulka / kiçik çörək,İsim
die Brücke,körpü,İsim
das Buch,kitab,İsim
buchen,bron etmək / sifariş etmək,Fel
der Buchstabe,hərf,İsim
buchstabieren,hərfləmək,Fel
bunt,rəngarəng / çoxrəngli,Sifət
das Büro,ofis / iş yeri,İsim
der Bus,avtobus,İsim
die Butter,yağ (kərə yağı),İsim
das Café,kafe,İsim
die Cafeteria,kafeteriya,İsim
chatten,çat etmək,Fel
der Chef / die Chefin,rəis / müdir (kişi/qadın),İsim
der Club / Klub,klub,İsim
der/das Comic,komiks,İsim
der Computer,kompüter,İsim
die Creme,krem,İsim
da,orada / budur,Zərf
da(r)- (darauf / darüber),bunun üzərindəki / bunun haqqında,Zərf
dabei sein,yanında olmaq / iştirak etmək,Fel
dafür/dagegen sein,tərəfdar/əleyhdar olmaq,Fel
damals,o vaxt / əvvəllər,Zərf
die Dame,xanım,İsim
daneben,yanında / onun yanında,Zərf
der Dank,təşəkkür,İsim
danke,sağ ol / teşekkür,Ədat
danken,təşəkkür etmək,Fel
dann,sonra / o zaman,Zərf
dass,ki (bağlayıcı),Bağlayıcı
die Datei,fayl,İsim
das Datum,tarix,İsim
dauern,davam etmək / sürmək,Fel
denken,düşünmək,Fel
denn,çünki,Bağlayıcı
deshalb,buna görə,Bağlayıcı
deutlich,aydın / aşkar,Sifət
dick,kök / qalın,Sifət
das Ding,əşya / predmet,İsim
direkt,birbaşa / düz,Zərf
die Disco / Disko,diskoteka,İsim
diskutieren,müzakirə etmək,Fel
doch,əksinə / bəli (inkar suala),Ədat
das Doppelzimmer,ikiqişilik otaq,İsim
das Dorf,kənd,İsim
dort,orada,Zərf
draußen,çöldə / bayırda,Zərf
dringend,təcili,Sifət
drinnen,içəridə,Zərf
drüben,orada / o tərəfdə,Zərf
drücken,basmaq / sıxmaq,Fel
drucken,çap etmək,Fel
der Drucker,printer,İsim
dumm,axmaq,Sifət
dunkel,qaranlıq / tünd,Sifət
dünn,arıq / nazik,Sifət
durch,vasitəsilə / içindən,Ədat
dürfen,icazəsi olmaq / haqqı olmaq,Fel
der Durst,susuzluq,İsim
die Dusche,duş,İsim
duschen (sich),duş almaq,Fel
das E-Book,elektron kitab,İsim
echt,həqiqi / doğrudan,Sifət
die Ecke,küncü / bucaq,İsim
egal,fərq etməz / eynidir,Sifət
die Ehefrau / der Ehemann,həyat yoldaşı (arvad/ər),İsim
das Ei,yumurta,İsim
eigen-,öz / şəxsi,Sifət
eigentlich,əslində / həqiqətdə,Zərf
eilig,tələsik,Sifət
einfach,sadə / asanlıqla,Sifət
der Eingang,giriş,İsim
einig-,bir neçə / bəzi,Sifət
einkaufen,alış-veriş etmək,Fel
das Einkaufszentrum,ticarət mərkəzi,İsim
einladen,dəvət etmək,Fel
die Einladung,dəvət,İsim
einmal,bir dəfə,Zərf
einpacken,bağlamaq / qablaşdırmaq,Fel
einsteigen,minmək (nəqliyyata),Fel
eintragen (sich),siyahıya yazmaq,Fel
der Eintritt,giriş / bilet qiyməti,İsim
einverstanden sein,razı olmaq,Fel
einzel-,tək / ayrı / fərdi,Sifət
einziehen,köçüb gəlmək,Fel
das Eis,dondurma / buz,İsim
die E-Mail,e-poçt,İsim
der Empfänger,alan / alıcı,İsim
empfehlen,tövsiyə etmək,Fel
das Ende,son / bitiş,İsim
enden,qurtarmaq / bitmək,Fel
endlich,nəhayət,Zərf
eng,dar / sıx,Sifət
entschuldigen (sich),üzr istəmək,Fel
die Entschuldigung,üzr,İsim
das Erdgeschoss,birinci mərtəbə (zemin),İsim
die Erfahrung,təcrübə,İsim
erinnern (sich),xatırlamaq,Fel
erkältet sein,soyuqdəymək,Fel
erklären,izah etmək,Fel
erlauben,icazə vermək,Fel
erlaubt sein,icazəli olmaq,Fel
die Erlaubnis,icazə,İsim
die Ermäßigung,endirim / güzəşt,İsim
erreichen,çatmaq / əlaqə saxlamaq,Fel
erst,yalnız / hələ / ancaq,Zərf
der/die Erwachsene,böyük / yetkin,İsim
erzählen,danışmaq / nağıl etmək,Fel
essen,yemək,Fel
das Essen,yemək (isim),İsim
etwas,nəsə / bir az,Əvəzlik
das Fach,fənn / mövzu,İsim
fahren,getmək / sürmək,Fel
die Abfahrt,yola düşmə / ayrılış,İsim
die Fahrkarte,bilet,İsim
der Fahrplan,nəqliyyat cədvəli,İsim
das Fahrrad,velosiped,İsim
fallen,düşmək,Fel
falsch,yanlış / səhv,Sifət
die Familie,ailə,İsim
der Familienname,soyad,İsim
der Fan,fan / pərəstişkar,İsim
fantastisch,fantastik / möhtəşəm,Sifət
die Farbe,rəng,İsim
fast,demək olar ki / az qala,Zərf
faul,tənbəl,Sifət
fehlen,olmamaq / çatışmamaq,Fel
der Fehler,səhv,İsim
die Feier / Feierabend / Feiertag,bayram / iş günü sonu / istirahət günü,İsim
feiern,qeyd etmək / bayram etmək,Fel
das Fenster,pəncərə,İsim
die Ferien,tətil,İsim
fernsehen,televizora baxmaq,Fel
der Fernseher,televizor,İsim
fertig sein,hazır olmaq,Fel
das Fest,bayram / şənlik,İsim
das Festival,festival,İsim
fett,yağlı,Sifət
das Fieber,qızdırma / isitmə,İsim
der Film,film,İsim
finden,tapmaq / hesab etmək,Fel
die Firma,şirkət / firma,İsim
der Fisch,balıq,İsim
fit sein,forma olmaq / sağlam olmaq,Fel
die Flasche,şüşə / butulka,İsim
das Fleisch,ət,İsim
fleißig,çalışqan,Sifət
fliegen,uçmaq,Fel
der Flohmarkt,köhnə əşya bazarı,İsim
der Flug,uçuş / reys,İsim
der Flughafen,hava limanı,İsim
das Flugzeug,təyyarə,İsim
der Fluss,çay,İsim
das Formular,forma / blanket,İsim
der Fotoapparat,fotoapparat,İsim
fotografieren,fotoşəkil çəkmək,Fel
das Foto,foto / şəkil,İsim
die Frage,sual,İsim
fragen,soruşmaq,Fel
die Frau,qadın / xanım,İsim
frei,azad / boş / pulsuz,Sifət
freiwillig,könüllü,Zərf
die Freizeit,boş vaxt / asudə vaxt,İsim
fremd,yad / xarici,Sifət
freuen (sich),sevinmək / şad olmaq,Fel
der Freund / die Freundin,dost / sevgili (kişi/qadın),İsim
freundlich,mehriban / xoşrəftar,Sifət
frisch,təzə,Sifət
froh,şad / xoşbəxt,Sifət
früh,erkən / tezdən,Zərf
früher,əvvəllər / daha əvvəl,Zərf
das Frühstück,səhər yeməyi,İsim
frühstücken,səhər yeməyi yemək,Fel
fühlen (sich),hiss etmək / özünü hiss etmək,Fel
der Führerschein,sürücülük vəsiqəsi,İsim
die Führung,ekskursiya / rəhbərlik,İsim
die Fundsachen,tapılan əşyalar,İsim
für,üçün,Ədat
furchtbar,dəhşətli / çox pis,Sifət
der Fuß,ayaq,İsim
der Fußball,futbol,İsim
die Gabel,çəngəl,İsim
ganz,tamamilə / bütün / tam,Zərf
die Garage,qaraj,İsim
der Garten,bağ / həyət,İsim
der Gast,qonaq,İsim
geben,vermək,Fel
geboren,doğulmuş,Sifət
das Geburtsjahr / der Geburtsort / der Geburtstag,doğum ili / yeri / günü,İsim
geehrt-,hörmətli,Sifət
gefährlich,təhlükəli,Sifət
gefallen,xoşuna gəlmək,Fel
gegen,qarşı / haqqında / təxminən,Ədat
das Gegenteil,əksi / ziddi,İsim
gegenüber,qarşısında / üz-üzə,Zərf
das Gehalt,maaş,İsim
gehen,getmək / olmaq (hal haqqında),Fel
gehören,aid olmaq / mənsubiyyəti olmaq,Fel
das Geld,pul,İsim
die Geldbörse,pul kisəsi / cüzdan,İsim
das Gemüse,tərəvəz,İsim
genau,dəqiq / tam,Zərf
genug,kifayət qədər,Zərf
das Gepäck,baqaj,İsim
gerade,elə indi / indicə,Zərf
geradeaus,düz irəli,Zərf
das Gerät,cihaz / aparat,İsim
das Gericht,yemək (xörək) / məhkəmə,İsim
gern / lieber / am liebsten,həvəslə / daha çox / ən çox,Zərf
das Geschäft,mağaza / iş,İsim
das Geschenk,hədiyyə,İsim
die Geschichte,tarix / hekayə,İsim
das Geschirr,qab-qaçaq,İsim
das Gesicht,üz / sifət,İsim
das Gespräch,söhbət / danışıq,İsim
gestern,dünən,Zərf
gesund,sağlam,Sifət
die Gesundheit,sağlamlıq,İsim
das Getränk,içki,İsim
gewinnen,qazanmaq / udmaq,Fel
das Gewitter,ildırımlı yağış / fırtına,İsim
die Gitarre,gitara,İsim
das Glas,stəkan / şüşə,İsim
glauben,inanmaq / düşünmək,Fel
gleich,eyni / az sonra,Sifət
das Gleis,rels / yol (dəmiryol),İsim
das Glück,xoşbəxtlik / şans,İsim
glücklich,xoşbəxt,Sifət
der Glückwunsch,təbrik,İsim
gratulieren,təbrik etmək,Fel
grillen,barbekü etmək / kabab bişirmək,Fel
die Grippe,qrip,İsim
groß,böyük / iri / hündür,Sifət
die Größe,ölçü / boy,İsim
die Gruppe,qrup,İsim
der Gruß,salam / salamlama,İsim
gültig sein,etibarlı olmaq,Fel
günstig,əlverişli / ucuz,Sifət
gut / besser / am besten,yaxşı / daha yaxşı / ən yaxşı,Sifət
das Haar,saç,İsim
haben,olmaq / sahib olmaq,Fel
das Hähnchen,toyuq (bişmiş),İsim
die Halle,salon / zal,İsim
hallo,salam,Ədat
der Hals,boyun / boğaz,İsim
halten,saxlamaq / dayanmaq,Fel
die Haltestelle,dayanacaq,İsim
der Hamburger,hamburger,İsim
die Hand,əl,İsim
das Handtuch,dəsmal,İsim
das Handy,mobil telefon,İsim
hängen,asmaq / asılmaq,Fel
hart,sərt / bərk,Sifət
hässlich,çirkin,Sifət
die Hauptstadt,paytaxt,İsim
das Haus,ev,İsim
der Haushalt,ev təsərrüfatı,İsim
das Heft,dəftər,İsim
die Heimat,vətən / doğma yer,İsim
heiraten,evlənmək,Fel
heiß,isti / qaynar,Sifət
heißen,adlanmaq,Fel
die Heizung,istilik sistemi / qızdırıcı,İsim
helfen,kömək etmək,Fel
hell,işıqlı / açıq (rəng),Sifət
das Hemd,köynək,İsim
her / herein / rein,bura / içəri,Zərf
heraus / raus,çölə / bayıra,Zərf
herein / rein,içəri,Zərf
der Herd,ocaq / plitə,İsim
der Herr,cənab / bəy,İsim
herstellen,istehsal etmək / hazırlamaq,Fel
herunterladen,yükləmək (internet),Fel
herzlich,ürəkdən / səmimi,Sifət
heute,bu gün,Zərf
hier,burada,Zərf
die Hilfe,kömək / yardım,İsim
der Himmel,göy / səma,İsim
hin / wohin,ora / haraya,Zərf
hinten,arxada / arxadan,Zərf
hinter,arxasında,Ədat
das Hobby,hobbi,İsim
hoch,hündür / yüksək,Sifət
die Hochzeit,toy / nikah mərasimi,İsim
hoffen,ümid etmək,Fel
hoffentlich,inşallah / ümid ki,Zərf
holen,gətirmək / aparmaq,Fel
die Homepage,ana səhifə / sayt,İsim
