Almanca,Azərbaycanca,Kateqoriya
hören,eşitmək / dinləmək,Fel
die Hose,şalvar,İsim
das Hotel,otel,İsim
der Hund,it,İsim
der Hunger,aclıq,İsim
husten,öskürək / öskürəmək,Fel
die Idee,fikir / ideya,İsim
immer,həmişə,Zərf
in,içində / -da/-də,Ədat
die Information,məlumat,İsim
informieren (sich),məlumat almaq,Fel
die Insel,ada,İsim
das Instrument,musiqi aləti,İsim
intelligent,ağıllı / zəkalı,Sifət
das Interesse,maraq,İsim
interessieren (sich),maraqlanmaq,Fel
interessant,maraqlı,Sifət
international,beynəlxalq,Sifət
das Internet,internet,İsim
das Interview,müsahibə,İsim
ja,bəli / hə,Ədat
die Jacke,gödəkçə / pencək,İsim
die Jeans,cins şalvar,İsim
jeder/-e/-s,hər / hər biri,Əvəzlik
jemand,kiminsə / kimsə,Əvəzlik
jetzt,indi,Zərf
der Job,iş / qulluq,İsim
joggen,jogging etmək,Fel
die Jugendherberge,gənclər hosteli,İsim
der/die Jugendliche,gənc / yeniyetmə,İsim
jung,gənc,Sifət
der Junge,oğlan,İsim
der Kaffee,qəhvə,İsim
der Kalender,təqvim,İsim
kalt,soyuq,Sifət
die Kamera,kamera,İsim
kaputt,sınıq / xarab,Sifət
die Karte,kart / bilet / kart / menyü,İsim
die Kartoffel,kartof,İsim
der Käse,pendir,İsim
die Kasse,kassa,İsim
die Katze,pişik,İsim
kaufen,almaq / satın almaq,Fel
das Kaufhaus,univermaq,İsim
kein/-e,heç / yox,Əvəzlik
der Keller,zirzəmi / bodrum,İsim
kennen,tanımaq,Fel
kennenlernen,tanış olmaq,Fel
die Kenntnisse,bilik / bacarıq,İsim
die Kette,boyunbağı / zəncir,İsim
das Kind,uşaq,İsim
der Kindergarten,uşaq bağçası,İsim
das Kino,kino,İsim
der Kiosk,köşk / kiçik mağaza,İsim
die Kirche,kilsə,İsim
klappen,alınmaq / uğurlu olmaq,Fel
klar,aydın / əlbəttə,Sifət
das Klavier,piano,İsim
das Kleid,paltar / don,İsim
die Kleidung,geyim,İsim
klein,kiçik,Sifət
klug,ağıllı / zəkalı,Sifət
kochen,bişirmək,Fel
der Koffer,çamadan,İsim
der Kollege / die Kollegin,iş yoldaşı (kişi/qadın),İsim
komisch,gülünc / qəribə,Sifət
kommen,gəlmək,Fel
können,bacarmaq / bilmək,Fel
der Kontakt,əlaqə,İsim
das Konto,bank hesabı,İsim
kontrollieren,yoxlamaq / nəzarət etmək,Fel
das Konzert,konsert,İsim
der Kopf,baş,İsim
der Körper,bədən / cism,İsim
die Kosmetik,kosmetika,İsim
kosten,başa gəlmək / dəymək,Fel
kostenlos,pulsuz / ödənişsiz,Sifət
krank,xəstə,Sifət
das Krankenhaus,xəstəxana,İsim
die Krankenkasse,tibbi sığorta,İsim
die Krankheit,xəstəlik,İsim
der Kredit,kredit,İsim
die Kreuzung,kəsişmə / çatraq,İsim
kriegen,almaq / əldə etmək,Fel
der Krimi,detektiv / cinayət filmi/kitabı,İsim
die Küche,mətbəx,İsim
der Kuchen,tort / keks,İsim
kühl,sərin,Sifət
der Kühlschrank,soyuducu,İsim
die Kultur,mədəniyyət,İsim
kümmern (sich),qayğısına qalmaq,Fel
der Kunde / die Kundin,müştəri (kişi/qadın),İsim
kündigen,işdən çıxmaq / fəsil etmək,Fel
die Kunst,sənət / incəsənət,İsim
der Kurs,kurs,İsim
kurz,qısa,Sifət
lachen,gülmək,Fel
der Laden,mağaza / dükan,İsim
die Lampe,lampa,İsim
das Land,ölkə / kənd,İsim
die Landschaft,mənzərə / ərazisi,İsim
lang,uzun,Sifət
lange,uzun müddət,Zərf
langsam,yavaş,Zərf
langweilig,sıxıcı / cansıxıcı,Sifət
der/das Laptop,noutbuk,İsim
lassen,buraxmaq / icazə vermək,Fel
laufen,qaçmaq / yüyürmək / getmək,Fel
laut,səs-küylü / ucadan,Zərf
leben,yaşamaq,Fel
das Leben,həyat,İsim
die Lebensmittel,ərzaq malları,İsim
leer,boş,Sifət
legen,qoymaq / uzatmaq,Fel
leicht,yüngül / asan,Sifət
leider,təəssüf ki,Zərf
leidtun / leid tun,üzülmək / peşman olmaq,Fel
leihen,borc vermək / icarəyə götürmək,Fel
leise,səssiz / astadan,Zərf
lernen,öyrənmək,Fel
lesen,oxumaq,Fel
letzt-,son / keçən,Sifət
die Leute,insanlar / adamlar,İsim
das Licht,işıq,İsim
lieb-,sevgili / əziz,Sifət
lieben,sevmək,Fel
Lieblings-,sevimli / ən sevdiyim,Sifət
das Lied,mahnı / nəğmə,İsim
liefern,çatdırmaq / göndərmək,Fel
liegen,uzanmaq / yerləşmək,Fel
der Link,link / keçid,İsim
links,solda / sola,Zərf
der Löffel,qaşıq,İsim
das Lokal,kafe / restoran,İsim
die Lüge,yalan,İsim
lügen,yalan danışmaq,Fel
die Lust,istək / həvəs,İsim
lustig,şən / əyləncəli,Sifət
machen,etmək / düzəltmək,Fel
das Mädchen,qız,İsim
der Magen,mədə,İsim
die Mailbox,poçt qutusu / səs poçtu,İsim
mal / das Mal,bir dəfə / zaman / hərdən,Zərf
malen,rəsm çəkmək,Fel
man,adam / insan (ümumi),Əvəzlik
manch-,bəzi / bir neçə,Sifət
manchmal,bəzən,Zərf
der Mann,kişi / ər,İsim
männlich,kişi / erkək,Sifət
die Mannschaft,komanda / heyət,İsim
der Mantel,palto,İsim
der Markt,bazar,İsim
die Maschine,maşın / mexanizm,İsim
das Medikament,dərman,İsim
das Meer,dəniz,İsim
mehr,daha çox / artıq,Zərf
meinen,düşünmək / demək istəmək,Fel
die Meinung,fikir / rəy,İsim
meist-,əksər / ən çox,Sifət
meistens,adətən / əksər hallarda,Zərf
die Menge,miqdar / çoxlu,İsim
der Mensch,insan,İsim
merken,yadda saxlamaq / fərqinə varmaq,Fel
die Messe,sərgi / yarmarka,İsim
das Messer,bıçaq,İsim
die Miete,icarə haqqı,İsim
mieten,icarəyə götürmək,Fel
die Milch,süd,İsim
mindestens,ən azı,Zərf
das Mineralwasser,mineral su,İsim
mit,ilə / -la/-lə,Ədat
der Mitarbeiter,işçi / əməkdaş,İsim
das Mittagessen,nahar / günorta yeməyi,İsim
die Mitte,orta / mərkəz,İsim
das Mittel,vasitə / dərman,İsim
die Möbel,mebel,İsim
das Mobiltelefon,mobil telefon,İsim
möchten,istəmək (nəzakətli),Fel
die Mode,moda,İsim
modern,müasir / moda,Sifət
mögen,sevmək / xoşlamaq,Fel
möglich,mümkün,Sifət
der Moment,an / dəqiqə,İsim
morgen,sabah,Zərf
der Motor,mühərrik / motor,İsim
der Motorroller,moped / skuter,İsim
müde,yorğun,Sifət
der Müll,zibil / tullantı,İsim
der Mund,ağız,İsim
das Museum,muzey,İsim
die Musik,musiqi,İsim
müssen,lazım olmaq / məcbur olmaq,Fel
die Mütze,papaq / kepka,İsim
nach,sonra / -a/-ə / haqqında,Ədat
der Nachbar / die Nachbarin,qonşu (kişi/qadın),İsim
die Nachricht,xəbər / mesaj,İsim
nächste/-r/-s,növbəti / gələn,Sifət
die Nähe,yaxınlıq / yaxın yer,İsim
der Name,ad,İsim
nass,yaş / islaq,Sifət
die Natur,təbiət,İsim
natürlich,əlbəttə / təbii ki,Zərf
neben,yanında / yaxınlığında,Ədat
nebenan,qonşuda / yanında,Zərf
neblig,dumanlı,Sifət
nehmen,götürmək / almaq,Fel
nein,xeyr / yox,Ədat
nennen,adlandırmaq / çağırmaq,Fel
nervös,əsəbi / narahat,Sifət
nett,xoş / mehriban,Sifət
neu,yeni,Sifət
nicht,deyil / yox,Ədat
nichts,heç nə,Əvəzlik
nie,heç vaxt,Zərf
niemand,heç kim,Əvəzlik
nirgends,heç yerdə,Zərf
noch,hələ / daha,Zərf
normal,normal / adi,Sifət
die Note,qiymət / not,İsim
notieren,qeyd etmək,Fel
die Notiz,qeyd / not,İsim
notwendig,lazımlı / zəruri,Sifət
die Nudel,makaron / ərik xəmiri,İsim
die Nummer,nömrə / ölçü,İsim
nur,yalnız / ancaq,Zərf
nützlich,faydalı,Sifət
oben,yuxarıda / üstdə,Zərf
das Obst,meyvə,İsim
oder,ya da / yaxud,Bağlayıcı
offen,açıq,Sifət
öffnen,açmaq,Fel
oft,tez-tez,Zərf
ohne,olmadan / -sız/-siz,Ədat
das Ohr,qulaq,İsim
das Öl,yağ / neft,İsim
online,onlayn,Zərf
die Orange,portağal,İsim
die Ordnung,nizam / qayda,İsim
organisieren,təşkil etmək,Fel
der Ort,yer / məkan / qəsəbə,İsim
das Paar,cüt / cütlük,İsim
ein paar,bir neçə,Sifət
packen,yığmaq / bağlamaq,Fel
das Paket,bağlama / paket,İsim
das Papier,kağız,İsim
die Papiere,sənədlər / şəxsiyyət sənədləri,İsim
das Parfüm,ətir,İsim
der Park,park,İsim
parken,park etmək,Fel
der Partner / die Partnerin,tərəfdaş / partner (kişi/qadın),İsim
die Party,party / məclis,İsim
der Pass,pasport,İsim
passen,uyğun olmaq / yaraşmaq,Fel
passieren,baş vermək / olmaq,Fel
das Passwort,şifrə / parol,İsim
die Pause,fasilə,İsim
die Person,şəxs / adam,İsim
das Pferd,at,İsim
die Pflanze,bitki,İsim
die Pizza,pizza,İsim
das Plakat,afişa / plakar,İsim
der Plan,plan,İsim
planen,planlaşdırmaq,Fel
der Platz,yer / meydan / oturacaq,İsim
plötzlich,qəfildən / birdən,Zərf
die Polizei,polis,İsim
die Pommes frites,qızardılmış kartof,İsim
die Portion,porsiya,İsim
die Post,poçt,İsim
das Poster,poster / afişa,İsim
die Postkarte,məktubkart,İsim
die Postleitzahl,poçt indeksi,İsim
das Praktikum,staj / təcrübə,İsim
praktisch,praktik / əlverişli,Sifət
die Praxis,klinika / həkim qəbulxanası,İsim
der Preis,qiymət,İsim
preiswert,ucuz / əlverişli qiymətli,Sifət
privat,şəxsi / xüsusi,Sifət
pro,hər biri üçün / -a görə,Ədat
probieren,sınamaq / tatmaq,Fel
das Problem,problem,İsim
das Produkt,məhsul,İsim
das Programm,proqram,İsim
das Projekt,layihə,İsim
der Prospekt,broşür / kataloq,İsim
prüfen,yoxlamaq,Fel
die Prüfung,imtahan,İsim
der Pullover,sviter,İsim
pünktlich,vaxtında / dəqiq,Zərf
putzen,təmizləmək,Fel
die Qualität,keyfiyyət,İsim
das Quiz,viktorina,İsim
das Radio,radio,İsim
raten,məsləhət vermək / tapmaca həll etmək,Fel
das Rathaus,bələdiyyə / şəhər idarəsi,İsim
das Rätsel,tapmaca / bilməcə,İsim
rauchen,siqaret çəkmək,Fel
der Raum,otaq / məkan / yer,İsim
rechnen,hesablamaq,Fel
die Rechnung,hesab / faktura,İsim
recht haben,haqlı olmaq,Fel
rechts,sağda / sağa,Zərf
reden,danışmaq / söhbət etmək,Fel
der Regen,yağış,İsim
regnen,yağmaq (yağış),Fel
reich,varlı / zəngin,Sifət
der Reifen,təkər / şin,İsim
die Reihe,sıra / cərgə,İsim
die Reinigung,kimyəvi təmizləmə,İsim
der Reis,düyü / pirinc,İsim
die Reise,səyahət,İsim
das Reisebüro,turizm bürosu,İsim
der Reiseführer,turizm bələdçisi / kitabı,İsim
reisen,səyahət etmək,Fel
reiten,at sürmək,Fel
renovieren,təmir etmək / yeniləmək,Fel
der Rentner / die Rentnerin,pensiyaçı (kişi/qadın),İsim
die Reparatur,təmir,İsim
reparieren,təmir etmək,Fel
reservieren,bron etmək,Fel
der Rest,qalıq / qalanı,İsim
das Restaurant,restoran,İsim
das Rezept,resept / resept (yemək),İsim
die Rezeption,resepsion / qəbul masası,İsim
richtig,düzgün / doğru,Sifət
riechen,iyi almaq / iy gəlmək,Fel
das Rind,inək / mal əti,İsim
der Ring,üzük / halqa,İsim
der Rock,yubka,İsim
romantisch,romantik,Sifət
die Rose,qızılgül,İsim
der Rücken,arxa / bel,İsim
der Rucksack,sırt çantası,İsim
rufen,çağırmaq,Fel
die Ruhe,sakitlik / istirahət,İsim
ruhig,sakit,Sifət
rund,dəyirmi / təxminən,Sifət
der Rundgang,gəzinti / tur,İsim
die Sache,məsələ / əşya,İsim
der Saft,şirə / meyve suyu,İsim
sagen,demək / söyləmək,Fel
der Salat,salat,İsim
das Salz,duz,İsim
sammeln,toplamaq / yığmaq,Fel
der Satz,cümlə,İsim
sauber,təmiz,Sifət
sauer,turş / əsəbi,Sifət
schade,təəssüf,Sifət
schädlich,zərərli,Sifət
schaffen,bacarmaq / nail olmaq,Fel
der Schalter,pəncərə (qəbul yeri) / açar / düymə,İsim
scharf,iti / ədviyyatlı / kəskin,Sifət
scheinen,parlamaq / görünmək,Fel
schenken,hədiyyə etmək,Fel
die Schere,qayçı,İsim
schicken,göndərmək,Fel
das Schiff,gəmi,İsim
das Schild,lövhə / işarə,İsim
schimpfen,söymək / danlaqlamaq,Fel
der Schirm,çətr,İsim
schlafen,yatmaq,Fel
das Schlafzimmer,yataq otağı,İsim
schlecht,pis / xarab,Sifət
schließen,bağlamaq / qapatmaq,Fel
schlimm,pis / ağır,Sifət
das Schloss,qala / kilid,İsim
der Schluss,son / bitiş,İsim
der Schlüssel,açar,İsim
schmecken,dadmaq / ləzzətli olmaq,Fel
der Schmerz,ağrı,İsim
schmutzig,çirkli,Sifət
der Schnee,qar,İsim
schneiden (sich),kəsmək / kəsilmək,Fel
schneien,qar yağmaq,Fel
schnell,tez / sürətli,Zərf
die Schokolade,şokolad,İsim
schon,artıq / həm də,Zərf
schön,gözəl / qəşəng,Sifət
der Schrank,dolap / şkaf,İsim
schrecklich,dəhşətli / iyrənc,Sifət
schreiben,yazmaq,Fel
schriftlich,yazılı,Sifət
der Schuh,ayaqqabı,İsim
die Schule,məktəb,İsim
der Schüler / die Schülerin,şagird (oğlan/qız),İsim
schwach,zəif,Sifət
schwanger,hamilə,Sifət
das Schwein,donuz,İsim
schwer,ağır / çətin,Sifət
schwierig,çətin / mürəkkəb,Sifət
das Schwimmbad,üzgüçülük hovuzu,İsim
schwimmen,üzmək,Fel
der See,göl,İsim
die See,dəniz,İsim
sehen,görmək,Fel
die Sehenswürdigkeit,görməli yer / tarixi abidə,İsim
sehr,çox / olduqca,Zərf
die Seife,sabun,İsim
sein,olmaq,Fel
seit,dan bəri,Ədat
die Seite,səhifə / tərəf,İsim
selbst,özü / özüm,Əvəzlik
die Sendung,proqram / göndəriş,İsim
der Service,xidmət,İsim
setzen (sich),oturmaq,Fel
sicher,əmin / təhlükəsiz,Sifət
singen,oxumaq / mahnı oxumaq,Fel
die Situation,vəziyyət,İsim
sitzen,oturmaq,Fel
der Ski,xizək,İsim
so,belə / o qədər / beləcə,Zərf
das Sofa,divan / sofa,İsim
sofort,dərhal / indicə,Zərf
sogar,hətta,Zərf
sollen,gərək / lazım (başqasının istəyi),Fel
die Sonne,günəş,İsim
sonnig,günəşli,Sifət
sonst,başqa / əks halda,Zərf
spannend,maraqlı / həyəcanlı,Sifət
sparen,qənaət etmək,Fel
der Spaß,əyləncə / zövq,İsim
spät,gec,Zərf
später,sonra / daha sonra,Zərf
spazieren gehen,gəzməyə getmək,Fel
der Spaziergang,gəzinti,İsim
speichern,saxlamaq / yadda saxlamaq (fayl),Fel
die Speisekarte,menyü,İsim
das Spiel,oyun,İsim
spielen,oynamaq,Fel
der Sport,idman,İsim
sportlich,idmançı / idmana həvəsli,Sifət
der Sportplatz,idman meydançası,İsim
die Sprache,dil,İsim
sprechen,danışmaq,Fel
die Sprechstunde,qəbul saatları,İsim
die Stadt,şəhər,İsim
der Stadtplan,şəhər xəritəsi,İsim
der Star,ulduz / məşhur,İsim
stark,güclü / şiddətli,Sifət
stattfinden,baş vermək / keçirilmək,Fel
stehen,durmaq / yazmaq (mətn),Fel
die Stelle,iş yeri / yer / mövqe,İsim
stellen,qoymaq / vermək (sual),Fel
sterben,ölmək,Fel
der Stiefel,çəkmə,İsim
der Stift,qələm,İsim
das Stipendium,təqaüd / stipendiya,İsim
der Stock / das Stockwerk,mərtəbə,İsim
stören,narahat etmək / mane olmaq,Fel
der Strand,çimərlik / sahil,İsim
die Straße,küçə / yol,İsim
die Straßenbahn,tramvay,İsim
streiten (sich),mübahisə etmək / dalaşmaq,Fel
streng,sərt / tələbkar,Sifət
der Stress,stress,İsim
stressig,stresli,Sifət
das Stück,parça / hissə / tamaşa,İsim
der Student / die Studentin,tələbə (kişi/qadın),İsim
studieren,universitetdə oxumaq,Fel
das Studium,ali təhsil / universitet,İsim
der Stuhl,stul / kreslo,İsim
suchen,axtarmaq,Fel
super,super / əla,Sifət
der Supermarkt,supermarket,İsim
die Suppe,şorba,İsim
surfen,sörf etmək / internet gəzmək,Fel
süß,şirin / sevimli,Sifət
die Süßigkeiten,şirniyyat,İsim
sympathisch,xoşagələn / rəğbətli,Sifət
das Tablet,planşet,İsim
die Tablette,həb / dərman,İsim
die Tafel / Infotafel,taxta / lövhə,İsim
tanzen,rəqs etmək,Fel
die Tasche,çanta,İsim
das Taschengeld,cib pulu,İsim
die Tasse,fincan / stəkan,İsim
tauschen / austauschen,dəyişmək / mübadilə etmək,Fel
das Taxi,taksi,İsim
das Team,komanda,İsim
der Tee,çay (içki),İsim
teilen,bölmək / paylaşmaq,Fel
teilnehmen,iştirak etmək,Fel
das Telefon,telefon,İsim
telefonieren,telefon etmək,Fel
der Teller,boşqab,İsim
das Tennis,tennis,İsim
der Termin,görüş / vaxt / randevu,İsim
teuer,bahalı,Sifət
der Text,mətn,İsim
das Theater,teatr,İsim
das Thema,mövzu,İsim
das Ticket,bilet,İsim
tief,dərin,Sifət
das Tier,heyvan,İsim
der Tipp,məsləhət / ipucu,İsim
der Tisch,masa / stol,İsim
der Titel,ad / başlıq,İsim
die Toilette,tualet,İsim
toll,əla / gözəl,Sifət
die Tomate,pomidor,İsim
der Topf,qazan / tava,İsim
die Torte,tort / pasta,İsim
tot,ölmüş / vəfat etmiş,Sifət
total,tamamilə / çox,Zərf
die Tour,tur / gəzinti,İsim
der Tourist / die Touristin,turist (kişi/qadın),İsim
tragen,aparmaq / geyinmək,Fel
trainieren,məşq etmək / idman etmək,Fel
das Training,məşq / trening,İsim
der Traum,xəyal / yuxu,İsim
träumen,xəyal qurmaq / yuxu görmək,Fel
traurig,kədərli / üzgün,Sifət
treffen (sich),görüşmək,Fel
die Treppe,pilləkən,İsim
trinken,içmək,Fel
trocken,quru,Sifət
tschüs,sağ ol / görüşənədək,Ədat
das T-Shirt,futbolka,İsim
tun,etmək / yapmaq,Fel
die Tür,qapı,İsim
typisch,xarakterik / tipik,Sifət
üben,məşq etmək,Fel
über,üstündə / haqqında / vasitəsilə,Ədat
überall,hər yerdə,Zərf
übermorgen,birisi gün,Zərf
übernachten,gecələmək,Fel
übersetzen,tərcümə etmək,Fel
die Übersetzung,tərcümə,İsim
überweisen,köçürmək (pul),Fel
die Uhr,saat,İsim
um,saat...-da / ətrafında / haqqında,Ədat
umsteigen,aktarma etmək,Fel
umziehen,köçmək,Fel
sich umziehen,paltarını dəyişmək,Fel
der Umzug,köçüb getmə / köç,İsim
unbedingt,mütləq / hökmən,Zərf
und,və,Bağlayıcı
der Unfall,qəza,İsim
die Universität,universitet,İsim
unten,aşağıda / altda,Zərf
unter,altında / aşağısında,Ədat
unterhalten (sich),söhbət etmək / əylənmək,Fel
die Unterkunft,qalacaq yer / yer,İsim
unternehmen,bir iş görmək / planlaşdırmaq,Fel
der Unterricht,dərs / təlim,İsim
der Unterschied,fərq,İsim
unterschreiben,imzalamaq,Fel
die Unterschrift,imza,İsim
untersuchen,müayinə etmək,Fel
unterwegs sein,yolda olmaq,Fel
der Urlaub,məzuniyyət / tətil,İsim
verabredet sein,görüşü olmaq / razılaşmaq,Fel
die Veranstaltung,tədbir / hadisə,İsim
verbieten / verboten sein,qadağan etmək / yasaqdır,Fel
verdienen,qazanmaq (pul),Fel
der Verein,birlik / klub / cəmiyyət,İsim
vereinbaren,razılaşmaq / müqavilə bağlamaq,Fel
vergessen,unutmaq,Fel
vergleichen,müqayisə etmək,Fel
verkaufen,satmaq,Fel
der Verkehr,nəqliyyat / hərəkət,İsim
das Verkehrsmittel,nəqliyyat vasitəsi,İsim
verletzen (sich),zədə almaq / yaralanmaq,Fel
verlieben (sich),aşiq olmaq / vurulmaq,Fel
verlieren,itirmək / udmaq,Fel
vermieten,icarəyə vermək,Fel
der Vermieter / die Vermieterin,ev sahibi (kişi/qadın),İsim
verpassen,buraxmaq / qaçırmaq,Fel
verreisen,səfərə çıxmaq,Fel
verschieben,təxirə salmaq,Fel
verschieden,müxtəlif / fərqli,Sifət
die Verspätung,gecikmə,İsim
verstehen,anlamaq / başa düşmək,Fel
versuchen,cəhd etmək / sınamaq,Fel
der Vertrag,müqavilə,İsim
viel / viele,çox,Sifət
vielleicht,bəlkə / ola bilsin,Zərf
der Vogel,quş,İsim
voll,dolu,Sifət
der Volleyball,voleybol,İsim
von,haqqında / -dan/-dən / -in,Ədat
vor,qarşısında / əvvəl,Ədat
vorbei,ötüb keçmək / yan keçmək,Zərf
vorbereiten,hazırlamaq,Fel
vorgestern,srağagün,Zərf
vorher,əvvəlcədən / bundan əvvəl,Zərf
vorne,öndə / qabaqda,Zərf
der Vorname,ad (adı),İsim
der Vorschlag,təklif,İsim
vorsichtig,ehtiyatlı,Sifət
vorstellen (sich),özünü / birini tanıtmaq,Fel
vorwärts,irəli,Zərf
wach,oyaq / ayıq,Sifət
der Wagen,avtomobil / vaqon,İsim
wählen,seçmək / yığmaq (nömrə),Fel
wahr,doğru / həqiqi,Sifət
wahrscheinlich,güman ki / ehtimal ki,Zərf
der Wald,meşə,İsim
wandern,gəzmək / yürüyüş etmək,Fel
wann,nə vaxt,Sual
warm,isti,Sifət
warten,gözləmək,Fel
warum,niyə / nə üçün,Sual
was,nə,Sual
die Wäsche,çirkli paltar / yuyulacaq,İsim
waschen (sich),yumaq / yunanmaq,Fel
das Wasser,su,İsim
die Webseite,veb-sayt,İsim
wechseln,dəyişmək / mübadilə etmək,Fel
wecken,oyatmaq,Fel
weg / weg-,getmək / yoxa çıxmaq,Zərf
der Weg,yol / istiqamət,İsim
wegen,görə / səbəbindən,Ədat
wehtun,ağrımaq,Fel
weiblich,qadın / dişi,Sifət
weich,yumşaq,Sifət
weil,çünki,Bağlayıcı
der Wein,şərab,İsim
weinen,ağlamaq,Fel
weit,uzaq,Sifət
weiter,davam etmək / daha uzaq,Zərf
welcher/-e/-s,hansı,Sual
die Welt,dünya,İsim
wenig/-e,az,Sifət
wenigstens,ən azı / heç olmazsa,Zərf
wenn,əgər / nə vaxt ki,Bağlayıcı
wer,kim,Sual
werden,olmaq (gələcək),Fel
die Werkstatt,emalatxana / avtomobil təmiri,İsim
der Wettbewerb,yarışma / müsabiqə,İsim
das Wetter,hava / ab-hava,İsim
wichtig,vacib / mühüm,Sifət
wie,necə / nə qədər,Sual
wie viel/-e,nə qədər,Sual
wieder,yenidən / bir daha,Zərf
wiederholen,təkrar etmək,Fel
das Wiederhören,görüşənədək (telefonda),İsim
das Wiedersehen,görüşənədək,İsim
willkommen,xoş gəlmisiniz,Ədat
der Wind,külək,İsim
windig,küləkli,Sifət
wirklich,həqiqətən / doğrudan,Zərf
wissen,bilmək,Fel
der Witz,zarafat / lətifə,İsim
witzig,şən / gülməli,Sifət
wo,harada,Sual
woher,haradan,Sual
wohin,haraya,Sual
wohnen,yaşamaq / oturmaq,Fel
die Wohnung,mənzil / dairə,İsim
das Wohnzimmer,qonaq otağı / salon,İsim
die Wolke,bulud,İsim
wollen,istəmək,Fel
der Workshop,seminar / iş sessiyası,İsim
das Wort,söz,İsim
wunderbar,möhtəşəm / gözəl,Sifət
der Wunsch,arzu / istək,İsim
wünschen,arzulamaq / diləmək,Fel
die Wurst,kolbasa / sosis,İsim
die Zahl,rəqəm / say,İsim
zahlen,ödəmək,Fel
der Zahn,diş,İsim
zeichnen,rəsm çəkmək / çizmək,Fel
zeigen,göstərmək,Fel
die Zeit,vaxt / zaman,İsim
die Zeitschrift,jurnal / məcəllə,İsim
die Zeitung,qəzet,İsim
das Zelt,çadır,İsim
das Zentrum,mərkəz,İsim
der Zettel,kağız parçası / qeyd,İsim
das Zeugnis,attestat / şəhadətnamə,İsim
ziehen / anziehen / ausziehen,çəkmək / geymək / soyunmaq,Fel
das Ziel,hədəf / məqsəd,İsim
das Zimmer,otaq,İsim
der Zirkus,sirk,İsim
die Zitrone,limon,İsim
der Zoo,zooparka,İsim
zu,çox / -a/-ə / evdə,Ədat
der Zucker,şəkər,İsim
zuerst,əvvəlcə / ilk öncə,Zərf
zufrieden,razı / məmnun,Sifət
der Zug,qatar,İsim
zuhören,dinləmək / qulaq asmaq,Fel
zuletzt,ən sonda / axırda,Zərf
zum Beispiel,məsələn,İfadə
zumachen,bağlamaq,Fel
zurück,geri,Zərf
zusammen,birlikdə,Zərf
zwischen,arasında,Ədat
